date,equity,cash,positions
2019-06-21,1132806.8695218563,2.4384381771087646,5
2019-06-24,1129828.8764436245,23.862754583358765,5
2019-06-25,1108720.8335587978,25.312209844589233,5
2019-06-26,1109107.714616537,25.312209844589233,5
2019-06-27,1119807.905935049,177.4702603816986,5
2019-06-28,1139860.1370751858,177.4702603816986,5
2019-07-01,1147559.28139472,177.4702603816986,5
2019-07-02,1150216.140008688,177.4702603816986,5
2019-07-03,1193845.110728979,7.017207860946655,5
2019-07-05,1195620.355077505,7.017207860946655,5
2019-07-08,1196237.0282056332,7.017207860946655,5
2019-07-09,1201299.7599732876,7.017207860946655,5
2019-07-10,1205535.3507039547,7.017207860946655,5
2019-07-11,1188481.3468472958,15.549434423446655,5
2019-07-12,1192150.6863496304,15.549434423446655,5
2019-07-15,1160971.8286511898,15.549434423446655,5
2019-07-16,1157317.5319898129,46.9837110042572,5
2019-07-17,1153166.934066534,128.5810468196869,5
2019-07-18,1157516.1607282162,128.5810468196869,5
2019-07-19,1159354.2348554134,128.5810468196869,5
2019-07-22,1160497.0629498959,34.30632758140564,5
2019-07-23,1161907.0344426632,36.449268102645874,5
2019-07-24,1178507.6433827877,36.449268102645874,5
2019-07-25,1175930.8538663387,36.449268102645874,5
2019-07-26,1149720.7299878597,8158.622119665146,5
2019-07-29,1139076.3552434444,3.409045934677124,5
2019-07-30,1139165.1544454098,3.409045934677124,5
2019-07-31,1135946.2686612606,23060.056506872177,5
2019-08-01,1120509.1383206844,11.053420782089233,5
2019-08-02,1114731.1590726376,218982.5673673153,4
2019-08-05,1090438.575423956,417918.25242590904,3
2019-08-06,1100677.6381680965,178.10926795005798,5
2019-08-07,1103343.3830411434,178.10926795005798,5
2019-08-08,1125324.8681333065,178.10926795005798,5
2019-08-09,1122225.354064703,178.10926795005798,5
2019-08-12,1119003.1385343075,13733.44288611412,5
2019-08-13,1136226.7580411434,13733.44288611412,5
2019-08-14,1116860.3021008968,236637.87715125084,4
2019-08-15,1127931.5602872372,11195.065917730331,5
2019-08-16,1133389.4509046078,11195.065917730331,5
2019-08-19,1135788.821693182,11195.065917730331,5
2019-08-20,1130610.427879095,11195.065917730331,5
2019-08-21,1133971.201278448,7.273780584335327,5
2019-08-22,1138366.3865659237,7.273780584335327,5
2019-08-23,1123206.2423245907,220079.13355231285,4
2019-08-26,1137278.4361188412,18.384467840194702,5
2019-08-27,1127853.6626966,212719.15834784508,4
2019-08-28,1127972.707076788,134.52136969566345,5
2019-08-29,1132194.823722601,134.52136969566345,5
2019-08-30,1134008.059180975,16337.566406011581,5
2019-09-03,1123941.4640939236,2214.477462530136,5
2019-09-04,1124504.5069921017,118.40631079673767,5
2019-09-05,1122745.7429368496,7.2230470180511475,5
2019-09-06,1114930.4611222744,10998.275254964828,5
2019-09-09,1106633.0033586025,14.045785665512085,5
2019-09-10,1111826.424623251,1.960397481918335,5
2019-09-11,1118316.313646078,1.960397481918335,5
2019-09-12,1113997.8650224209,1.960397481918335,5
2019-09-13,1110191.0939424038,1.960397481918335,5
2019-09-16,1100056.7143723965,19.829356908798218,5
2019-09-17,1103056.8515050411,19.829356908798218,5
2019-09-18,1095578.7867410183,3.6953046321868896,5
2019-09-19,1088562.2817475796,3.6953046321868896,5
2019-09-20,1089099.3553845882,3.6953046321868896,5
2019-09-23,1089928.2840993404,11148.147712469101,5
2019-09-24,1084232.6300199032,10855.111076116562,5
2019-09-25,1083158.9116151333,12.094056844711304,5
2019-09-26,1083284.8921296597,38.72060561180115,5
2019-09-27,1067321.4509522915,52.13225722312927,5
2019-09-30,1067807.4411256313,35.5287721157074,5
2019-10-01,1053421.6201264858,624726.612298727,2
2019-10-02,1039031.8264710903,831269.1048791409,1
2019-10-03,1041511.2180535793,831269.1048791409,1
2019-10-04,1045032.5926263332,204310.92297911644,4
2019-10-07,1041167.3834016323,204310.92297911644,4
2019-10-08,1030568.1994683743,204310.92297911644,4
2019-10-09,1036019.3833787441,204310.92297911644,4
2019-10-10,1033389.2026460171,204310.92297911644,4
2019-10-11,1035059.4665696621,18.025487661361694,5
2019-10-14,1036917.2323510647,18.025487661361694,5
2019-10-15,1047792.3351800442,18.025487661361694,5
2019-10-16,1047256.0970170498,18.025487661361694,5
2019-10-17,1056416.7180535793,18.025487661361694,5
2019-10-18,1063710.736455679,18.025487661361694,5
2019-10-21,1070259.4088685513,18.025487661361694,5
2019-10-22,1070598.0581452847,18.025487661361694,5
2019-10-23,1075627.5155847073,66.00839018821716,5
2019-10-24,1077424.681226492,66.00839018821716,5
2019-10-25,1089369.8703477383,66.00839018821716,5
2019-10-28,1088483.9136445522,123.36388564109802,5
2019-10-29,1085341.823575735,123.36388564109802,5
2019-10-30,1073544.7068879604,13.013057470321655,5
2019-10-31,1071589.5171487331,13.013057470321655,5
2019-11-01,1091517.9452912807,13.013057470321655,5
2019-11-04,1102590.8170392513,13.013057470321655,5
2019-11-05,1109567.3788602352,13.013057470321655,5
2019-11-06,1107116.5941751003,13.013057470321655,5
2019-11-07,1110503.701059103,112.26684165000916,5
2019-11-08,1111728.2912461758,112.26684165000916,5
2019-11-11,1108571.8165566921,112.26684165000916,5
2019-11-12,1112963.699477911,112.26684165000916,5
2019-11-13,1108410.6922852993,88.38497519493103,5
2019-11-14,1109805.1208379269,88.38497519493103,5
2019-11-15,1119039.8120629787,88.38497519493103,5
2019-11-18,1117213.1233747005,6.732158422470093,5
2019-11-19,1116191.5613057613,6.732158422470093,5
2019-11-20,1110408.4583165646,6.732158422470093,5
2019-11-21,1099815.7828252316,225759.27330946922,4
2019-11-22,1102496.8524987698,5349.376306295395,5
2019-11-25,1114607.9048173428,5349.376306295395,5
2019-11-26,1123713.6444413662,5349.376306295395,5
2019-11-27,1135901.4440762997,5349.376306295395,5
2019-11-29,1129492.3944985867,5349.376306295395,5
2019-12-02,1112530.8402116299,5349.376306295395,5
2019-12-03,1103827.9882085323,52.5093629360199,5
2019-12-04,1107892.8680741787,39.106645345687866,5
2019-12-05,1102061.894304037,26.24398970603943,5
2019-12-06,1108862.3539597988,189.91378951072693,5
2019-12-09,1101968.2232072353,28.562928915023804,5
2019-12-10,1097224.5016114712,16.790223836898804,5
2019-12-11,1109004.8091523647,16.790223836898804,5
2019-12-12,1116065.9375474453,12537.112832784653,5
2019-12-13,1112839.6843278408,12537.112832784653,5
2019-12-16,1113960.23650527,8132.1537091732025,5
2019-12-17,1108595.8771913052,18.193397283554077,5
2019-12-18,1116435.1586873531,18.193397283554077,5
2019-12-19,1125767.2474668026,18.193397283554077,5
2019-12-20,1139537.498016119,18.193397283554077,5
2019-12-23,1164810.8045480251,18.193397283554077,5
2019-12-24,1172547.8185060024,18.193397283554077,5
2019-12-26,1176750.9683892727,18.193397283554077,5
2019-12-27,1171016.5602242947,18.193397283554077,5
2019-12-30,1159504.1025693417,18.193397283554077,5
2019-12-31,1159487.6553742886,18.193397283554077,5
2020-01-02,1191559.040902853,18.193397283554077,5
2020-01-03,1189652.3656804562,21.961318731307983,5
2020-01-06,1193995.0816209316,11.286874532699585,5
2020-01-07,1200469.659223318,11.286874532699585,5
2020-01-08,1210384.640731573,0.19820952415466309,5
2020-01-09,1218934.6446511745,0.19820952415466309,5
2020-01-10,1216334.6322247982,0.19820952415466309,5
2020-01-13,1249009.4641759396,0.19820952415466309,5
2020-01-14,1252157.0813367367,30.810361623764038,5
2020-01-15,1248690.9992730618,30.810361623764038,5
2020-01-16,1252565.7409493923,30.810361623764038,5
2020-01-17,1242879.0906178951,56.09787154197693,5
2020-01-21,1272684.396711111,56.09787154197693,5
2020-01-22,1289017.3519780636,45.09203505516052,5
2020-01-23,1298965.648286581,45.09203505516052,5
2020-01-24,1279388.682183981,26.778634786605835,5
2020-01-27,1271325.4082524776,209361.9020383358,4
2020-01-28,1297006.5657498837,35.038169622421265,5
2020-01-29,1309230.7656133175,35.038169622421265,5
2020-01-30,1335121.3095128536,36.67005133628845,5
2020-01-31,1328565.2696301937,36.67005133628845,5
2020-02-03,1425678.3171231747,164.97957587242126,5
2020-02-04,1497222.9893453121,18.05351996421814,5
2020-02-05,1387815.1464002132,9.704082250595093,5
2020-02-06,1403617.0884702206,156675.94387030602,5
2020-02-07,1406858.0476834774,156675.94387030602,5
2020-02-10,1423273.8238065243,84969.1544187069,5
2020-02-11,1428481.243518591,49602.32783865929,5
2020-02-12,1439603.0581014156,49602.32783865929,5
2020-02-13,1430053.1221196651,49602.32783865929,5
2020-02-14,1424719.0439107418,39257.64121603966,5
2020-02-18,1429048.7958409786,24352.58948111534,5
2020-02-19,1450151.2354695797,24352.58948111534,5
2020-02-20,1428506.3575627804,24352.58948111534,5
2020-02-21,1397929.2193410397,29979.789527654648,5
2020-02-24,1377546.5541875362,269887.89678931236,4
2020-02-25,1349795.3862493038,798251.8343656063,2
2020-02-26,1342779.8714978695,1063433.3338239193,1
2020-02-27,1326550.5843160152,1326550.5843160152,0
2020-02-28,1326550.5843160152,1326550.5843160152,0
2020-03-02,1326550.5843160152,1061574.1907613277,1
2020-03-03,1324726.1093404293,1061574.1907613277,1
2020-03-04,1342930.9376485348,1061574.1907613277,1
2020-03-05,1339903.4590108395,525664.6208226681,3
2020-03-06,1333413.4620091915,8.900729894638062,5
2020-03-09,1261169.899451971,733394.3823926449,2
2020-03-10,1256827.747901678,985995.9167249203,1
2020-03-11,1250943.7924573421,1250943.7924573421,0
2020-03-12,1250943.7924573421,1250943.7924573421,0
2020-03-13,1250943.7924573421,1000755.5558936596,1
2020-03-16,1228891.4431359768,1000755.5558936596,1
2020-03-17,1247793.3957459927,1000755.5558936596,1
2020-03-18,1228891.4431359768,1000755.5558936596,1
2020-03-19,1212877.345268488,1212877.345268488,0
2020-03-20,1212877.345268488,1212877.345268488,0
2020-03-23,1212877.345268488,1212877.345268488,0
2020-03-24,1212877.345268488,1212877.345268488,0
2020-03-25,1212877.345268488,1212877.345268488,0
2020-03-26,1212877.345268488,1212877.345268488,0
2020-03-27,1212877.345268488,970309.8014910221,1
2020-03-30,1208462.5265276432,970309.8014910221,1
2020-03-31,1200045.4827501774,970309.8014910221,1
2020-04-01,1195506.8890459538,970309.8014910221,1
2020-04-02,1204212.7358248234,729515.11754632,2
2020-04-03,1196943.084015131,490137.0042860508,3
2020-04-06,1231862.283075571,67.54200577735901,5
2020-04-07,1246837.0877420902,67.54200577735901,5
2020-04-08,1258728.57640481,67.54200577735901,5
2020-04-09,1240871.2802431583,67.54200577735901,5
2020-04-13,1243034.514999628,26.57343316078186,5
2020-04-14,1297689.3055460453,26.57343316078186,5
2020-04-15,1293451.9046251774,6.42737603187561,5
2020-04-16,1313279.5946161747,6.42737603187561,5
2020-04-17,1348646.10059762,6.42737603187561,5
2020-04-20,1368187.3650972843,6.42737603187561,5
2020-04-21,1309267.76913476,34.87477898597717,5
2020-04-22,1335444.579162836,34.87477898597717,5
2020-04-23,1348160.7813875675,34.87477898597717,5
2020-04-24,1388246.4105875492,34.87477898597717,5
2020-04-27,1422473.5162127018,34.87477898597717,5
2020-04-28,1356386.8460466862,34.87477898597717,5
2020-04-29,1372413.0812532902,15.343658685684204,5
2020-04-30,1348941.1351892948,9476.786895990372,5
2020-05-01,1280516.2170603275,6.802562952041626,5
2020-05-04,1280959.5294229984,45.02889657020569,5
2020-05-05,1310570.5528872013,45.02889657020569,5
2020-05-06,1310439.2523806095,45.02889657020569,5
2020-05-07,1352404.5271456242,45.02889657020569,5
2020-05-08,1369625.0596125126,45.02889657020569,5
2020-05-11,1392219.6120226383,45.02889657020569,5
2020-05-12,1368556.9497492313,45.02889657020569,5
2020-05-13,1349158.3030207157,31.59739327430725,5
2020-05-14,1349326.691387415,31.59739327430725,5
2020-05-15,1394299.1765825748,31.59739327430725,5
2020-05-18,1454313.94308877,31.59739327430725,5
2020-05-19,1403686.8268473148,58.06374001502991,5
2020-05-20,1417225.0050928593,8121.857937097549,5
2020-05-21,1392943.7666285038,44.04441475868225,5
2020-05-22,1401558.9693262577,44.04441475868225,5
2020-05-26,1417110.8608210087,44.04441475868225,5
2020-05-27,1421901.1255686283,158.439373254776,5
2020-05-28,1417872.049389124,158.439373254776,5
2020-05-29,1423171.491047144,158.439373254776,5
2020-06-01,1440035.2697565556,158.439373254776,5
2020-06-02,1478783.4680826664,158.439373254776,5
2020-06-03,1527153.7620813847,158.439373254776,5
2020-06-04,1500479.9997980595,158.439373254776,5
2020-06-05,1574315.0881083012,158.439373254776,5
2020-06-08,1597452.2188227177,158.439373254776,5
2020-06-09,1547546.962795496,188.1020929813385,5
2020-06-10,1537133.1070597172,18718.61780190468,5
2020-06-11,1457689.5549051762,1457689.5549051762,0
2020-06-12,1457689.5549051762,1457689.5549051762,0
2020-06-15,1457689.5549051762,291589.38813328743,4
2020-06-16,1464995.6096937656,88.98549199104309,5
2020-06-17,1471528.3482887745,88.98549199104309,5
2020-06-18,1500075.7082502842,88.98549199104309,5
2020-06-19,1500659.0577614307,88.98549199104309,5
2020-06-22,1512627.239351511,31.440995454788208,5
2020-06-23,1526137.9892981052,291380.29370331764,4
2020-06-24,1506337.5976278782,12.451662302017212,5
2020-06-25,1528395.766870737,12.451662302017212,5
2020-06-26,1482020.0145132542,587193.6043035984,3
2020-06-29,1479480.225893259,573161.3949377537,3
2020-06-30,1489357.0626776218,12.801479578018188,5
2020-07-01,1544961.1031439304,12.801479578018188,5
2020-07-02,1551029.3684484959,12.801479578018188,5
2020-07-06,1583077.7718470097,12.801479578018188,5
2020-07-07,1605107.9362108707,16.711645364761353,5
2020-07-08,1645318.9607431889,16.711645364761353,5
2020-07-09,1646110.9705908298,16.711645364761353,5
2020-07-10,1657166.4902346134,16.711645364761353,5
2020-07-13,1581249.373148203,20499.9455473423,5
2020-07-14,1608087.6587450504,38907.22082352638,5
2020-07-15,1616645.207258463,38907.22082352638,5
2020-07-16,1627561.895311594,38907.22082352638,5
2020-07-17,1633976.1980764866,38907.22082352638,5
